# Program:featureCounts v1.6.0; Command:"featureCounts" "-T" "1" "-t" "exon" "-g" "Parent" "-a" "../Reference_Data/PlasmoDB-41_Pfalciparum3D7.gff" "-o" "vehicle_drug_feature_counts_exons.txt" "-p" "vehicle_rep1.bam" "vehicle_rep2.bam" "drug_rep1.bam" "drug_rep2.bam" 
Geneid	Chr	Start	End	Strand	Length	vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_1106700.1	Pf3D7_11_v3	279920	282994	-	3075	111	93	79	100
PF3D7_0621100.1	Pf3D7_06_v3	865845	869909	-	4065	136	191	134	127
PF3D7_1040800.1	Pf3D7_10_v3;Pf3D7_10_v3	1625772;1625991	1625825;1626824	+;+	888	0	0	0	0
PF3D7_0909100.1	Pf3D7_09_v3	415205	417433	+	2229	22	10	13	11
PF3D7_1028500.1	Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3	1172129;1174761;1174967	1174535;1174839;1174997	-;-;-	2517	111	124	147	169
PF3D7_1342400.1	Pf3D7_13_v3;Pf3D7_13_v3	1666832;1667680	1667515;1668153	-;-	1158	843	1148	653	701
PF3D7_1419100.1	Pf3D7_14_v3	793752	796877	+	3126	64	65	100	121
PF3D7_1448500.1	Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3	1984189;1984476;1984692	1984314;1984581;1995574	-;-;-	11115	390	328	445	530
PF3D7_1125000.1	Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3	983951;984202;984360;984582;984788;985043;985264	984076;984273;984411;984682;984884;985111;985619	-;-;-;-;-;-;-	873	272	409	463	521
PF3D7_1468000.1	Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3	2777632;2777914;2778029;2778796;2779164;2779310;2779529;2779764;2783098;2783330;2784209	2777663;2777956;2778497;2779003;2779234;2779428;2779650;2782943;2783209;2783968;2785114	+;+;+;+;+;+;+;+;+;+;+	5901	10	9	14	22
PF3D7_0500900.1	Pf3D7_05_v3;Pf3D7_05_v3;Pf3D7_05_v3	50422;50695;52325	50514;52218;52510	-;-;-	1803	63	74	63	67
PF3D7_1207600.1	Pf3D7_12_v3	349479	351284	-	1806	66	45	77	80
PF3D7_0311400.1	Pf3D7_03_v3;Pf3D7_03_v3	488804;489386	489226;496510	+;+	7548	4	1	9	10
PF3D7_0722200.1	Pf3D7_07_v3	946363	948612	+	2250	146	184	133	111
PF3D7_0515900.1	Pf3D7_05_v3	660150	661136	-	987	73	124	85	89
PF3D7_0319500.1	Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3	815569;815801;816035;816301	815689;815899;816189;816855	+;+;+;+	930	227	178	287	331
PF3D7_API02500.1	Pf3D7_API_v3	7040	7150	+	111	0	0	0	0
PF3D7_1450000.1	Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3	2047793;2048010;2048252;2048493;2048788;2049284;2049522;2049721;2049936	2047829;2048121;2048312;2048625;2049131;2049402;2049612;2049806;2050083	+;+;+;+;+;+;+;+;+	1131	50	75	139	146
PF3D7_0300600.1	Pf3D7_03_v3	58307	58519	-	213	0	0	0	0
PF3D7_1222800.1	Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3	920790;921058;921262;921598;921900;922147;922291	920927;921111;921375;921806;921984;922212;922416	-;-;-;-;-;-;-	792	9	5	6	20
PF3D7_1443900.1	Pf3D7_14_v3	1797288	1800071	+	2784	242	272	390	418
PF3D7_1470100.1	Pf3D7_14_v3;Pf3D7_14_v3	2870069;2877367	2877210;2877589	+;+	7365	104	79	41	65
PF3D7_0519700.1	Pf3D7_05_v3;Pf3D7_05_v3;Pf3D7_05_v3	817066;818542;819005	817171;818879;819139	+;+;+	579	394	373	317	434
PF3D7_1469700.1	Pf3D7_14_v3	2863914	2864531	+	618	95	77	84	117
PF3D7_1455700.1	Pf3D7_14_v3;Pf3D7_14_v3	2278701;2281247	2281018;2282162	-;-	3234	135	108	209	250
PF3D7_1132100.1	Pf3D7_11_v3	1243226	1246618	-	3393	2	4	5	6
PF3D7_0532200.1	Pf3D7_05_v3;Pf3D7_05_v3	1303662;1304467	1304282;1304526	-;-	681	35	43	73	111
PF3D7_0508700.1	Pf3D7_05_v3	358261	362733	+	4473	155	137	325	406
PF3D7_1227400.1	Pf3D7_12_v3	1109151	1112669	-	3519	76	87	107	106
PF3D7_1126200.1	Pf3D7_11_v3;Pf3D7_11_v3	1023790;1024293	1024056;1024496	-;-	471	2295	2635	1542	1554
PF3D7_1242500.1	Pf3D7_12_v3	1798643	1799788	+	1146	121	47	50	67
PF3D7_0806700.1	Pf3D7_08_v3;Pf3D7_08_v3;Pf3D7_08_v3	354472;362018;362166	361893;362083;362396	+;+;+	7719	161	133	167	220
PF3D7_0303500.1	Pf3D7_03_v3	182731	189411	+	6681	75	51	90	97
PF3D7_0911100.1	Pf3D7_09_v3;Pf3D7_09_v3	504412;507550	507328;508130	+;+	3498	25	29	139	179
PF3D7_0422800.1	Pf3D7_04_v3;Pf3D7_04_v3;Pf3D7_04_v3;Pf3D7_04_v3;Pf3D7_04_v3;Pf3D7_04_v3;Pf3D7_04_v3	1042564;1043456;1043972;1044141;1044389;1044570;1044823	1043257;1043863;1044013;1044225;1044448;1044619;1044896	+;+;+;+;+;+;+	1413	69	102	46	49
PF3D7_0926300.1	Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3	1064752;1065209;1065473;1065915;1066648;1067816;1068077;1068494;1068799;1069012;1069198;1069356;1069571;1069956;1070212	1065075;1065379;1065746;1066458;1067674;1067915;1068230;1068682;1068878;1069098;1069270;1069440;1069816;1070035;1070317	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3540	84	103	77	121
PF3D7_1215600.1	Pf3D7_12_v3	635035	635457	+	423	60	84	16	19
PF3D7_1436400.1	Pf3D7_14_v3;Pf3D7_14_v3	1484166;1488075	1487905;1488129	+;+	3795	11	9	2	4
PF3D7_0808700.1	Pf3D7_08_v3;Pf3D7_08_v3	440408;446731	445771;448062	+;+	6696	3	1	3	4
PF3D7_1444700.1	Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3	1841960;1842449;1842655;1842888	1842344;1842542;1842717;1842906	+;+;+;+	561	164	212	178	145
PF3D7_1209600.1	Pf3D7_12_v3	443680	444987	+	1308	9	14	9	13
PF3D7_0523800.1	Pf3D7_05_v3	990005	992059	+	2055	129	189	334	358
PF3D7_1459700.1	Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3	2444473;2444583;2444742;2444962;2445132;2445360;2445544;2445994	2444498;2444626;2444859;2445028;2445220;2445420;2445816;2446179	-;-;-;-;-;-;-;-	864	197	222	173	210
PF3D7_1409000.1	Pf3D7_14_v3;Pf3D7_14_v3	353263;353497	353318;355141	-;-	1701	143	106	144	200
PF3D7_1028900.1	Pf3D7_10_v3;Pf3D7_10_v3	1184728;1185824	1185714;1185946	-;-	1110	11	15	14	13
PF3D7_1447100.1	Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3	1932421;1932671;1932942	1932514;1932752;1933200	-;-;-	435	163	227	294	317
PF3D7_1026000.1	Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3	1098455;1098806;1099751	1098640;1099579;1099882	-;-;-	1092	262	287	720	911
PF3D7_1366000.1	Pf3D7_13_v3	2635213	2635488	+	276	12	40	6	11
malmito_rna_RNA14:rRNA	Pf_M76611	5508	5546	-	39	1	0	0	0
PF3D7_0919800.1	Pf3D7_09_v3;Pf3D7_09_v3	804417;807816	807548;807920	-;-	3237	174	188	257	280
PF3D7_0205000.1	Pf3D7_02_v3	212982	214508	-	1527	22	25	23	22
PF3D7_1354200.1	Pf3D7_13_v3	2160318	2162729	-	2412	109	83	66	63
PF3D7_0610800.1	Pf3D7_06_v3	453671	455689	+	2019	1520	1488	1129	1189
PF3D7_1353200.1	Pf3D7_13_v3;Pf3D7_13_v3	2130531;2130934	2130812;2131065	+;+	414	38	23	192	211
PF3D7_0700300.1	Pf3D7_07_v3;Pf3D7_07_v3	33585;34736	34466;34804	-;-	951	3	0	2	1
PF3D7_0914300.1	Pf3D7_09_v3;Pf3D7_09_v3	612976;613213	613041;615492	-;-	2346	83	81	60	96
PF3D7_1005200.1	Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3	232422;232563;232750	232470;232630;232818	-;-;-	186	1	1	0	1
PF3D7_0605000.1	Pf3D7_06_v3	213558	214142	+	585	108	121	150	189
PF3D7_0410900.1	Pf3D7_04_v3	490442	493375	-	2934	48	49	70	78
PF3D7_1113700.1	Pf3D7_11_v3	529493	530563	+	1071	218	125	93	118
PF3D7_1108800.1	Pf3D7_11_v3;Pf3D7_11_v3	377740;378122	377932;378396	+;+	468	1	0	0	0
PF3D7_1129400.1	Pf3D7_11_v3	1138075	1139979	-	1905	282	257	373	458
PF3D7_1215000.1	Pf3D7_12_v3	621125	621775	+	651	96	98	86	97
PF3D7_0607000.1	Pf3D7_06_v3	293864	296797	+	2934	1513	1256	2142	2835
PF3D7_0519600.1	Pf3D7_05_v3	812648	814915	+	2268	219	194	197	223
PF3D7_1460600.1	Pf3D7_14_v3	2473758	2474204	+	447	16	16	30	20
PF3D7_1321700.1	Pf3D7_13_v3;Pf3D7_13_v3	902383;904780	904590;905166	+;+	2595	425	498	486	522
PF3D7_0820000.1	Pf3D7_08_v3;Pf3D7_08_v3;Pf3D7_08_v3;Pf3D7_08_v3;Pf3D7_08_v3	900742;901149;907188;907421;907566	900942;906938;907263;907453;907714	-;-;-;-;-	6249	307	162	430	547
PF3D7_0623900.1	Pf3D7_06_v3	977183	978049	+	867	139	204	192	167
PF3D7_0311900.1	Pf3D7_03_v3	509291	511597	-	2307	78	98	61	86
PF3D7_1372900.1	Pf3D7_13_v3;Pf3D7_13_v3	2865893;2866197	2866194;2867226	+;+	1332	0	0	0	0
PF3D7_0905600.1	Pf3D7_09_v3;Pf3D7_09_v3	280207;283630	283396;284102	+;+	3663	2	2	0	1
PF3D7_1437700.1	Pf3D7_14_v3	1525564	1528485	-	2922	173	113	119	148
PF3D7_1307100.1	Pf3D7_13_v3	327893	330928	+	3036	97	50	146	198
PF3D7_0532400.1	Pf3D7_05_v3;Pf3D7_05_v3	1312471;1312766	1312668;1314154	+;+	1587	234	86	290	374
PF3D7_0527500.1	Pf3D7_05_v3;Pf3D7_05_v3	1143618;1144002	1143636;1145359	+;+	1377	2166	2024	1351	1468
PF3D7_1110300.1	Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3	410202;410827;411060;411316	410687;410899;411126;411355	-;-;-;-	666	221	205	201	208
PF3D7_0620600.1	Pf3D7_06_v3	857726	858610	+	885	3	5	5	6
PF3D7_1214700.1	Pf3D7_12_v3	615636	616100	+	465	60	65	42	58
PF3D7_1413400.1	Pf3D7_14_v3	534057	535988	-	1932	93	173	156	153
PF3D7_1327000.1	Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3	1134070;1134299;1134693	1134171;1134493;1138040	-;-;-	3645	61	36	29	38
PF3D7_0716300.1	Pf3D7_07_v3;Pf3D7_07_v3	717281;718833	718713;718968	+;+	1569	1906	2089	1068	1246
PF3D7_1426600.1	Pf3D7_14_v3	1031065	1035360	-	4296	84	65	29	43
PF3D7_0210400.1	Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3;Pf3D7_02_v3	425689;425995;426209;426476	425855;426074;426299;426497	+;+;+;+	360	191	173	116	152
PF3D7_0920800.1	Pf3D7_09_v3	852525	854057	-	1533	396	276	476	502
PF3D7_1250000.1	Pf3D7_12_v3	2044120	2044626	+	507	204	279	276	303
PF3D7_1009200.1	Pf3D7_10_v3	374864	377611	+	2748	44	31	42	30
PF3D7_1418500.1	Pf3D7_14_v3	779377	779495	+	119	0	0	0	0
PF3D7_0921900.1	Pf3D7_09_v3	888559	889305	+	747	476	689	764	702
PF3D7_1463300.1	Pf3D7_14_v3	2572988	2574607	+	1620	103	99	51	47
PF3D7_0318400.1	Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3;Pf3D7_03_v3	761693;761925;762096;762263;762553;762707;762972;763150;763301;763525;763729;763959;764106;764343;764516;764752;765083	761822;761995;762162;762344;762622;762847;763043;763223;763406;763604;763786;764009;764169;764385;764614;764962;765439	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1776	1	4	0	2
PF3D7_1321100.1	Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3	861442;861673;862258;871174	861513;862146;870896;872332	-;-;-;-	10344	75	37	46	44
PF3D7_1252900.1	Pf3D7_12_v3;Pf3D7_12_v3	2162707;2163080	2162982;2163145	-;-	342	4	3	8	13
PF3D7_1361300.1	Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3	2462069;2462337;2462494;2462646;2462773;2462918;2463110;2463301;2463530;2463762	2462194;2462400;2462559;2462687;2462811;2462962;2463194;2463406;2463650;2463784	+;+;+;+;+;+;+;+;+;+	717	1	4	0	2
PF3D7_1244800.1	Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3	1873194;1873366;1873532;1873801;1874088;1874290;1874505;1874933;1875178	1873217;1873418;1873665;1873973;1874164;1874359;1874746;1875057;1875287	-;-;-;-;-;-;-;-;-	1008	614	691	847	925
PF3D7_1020100.1	Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3	814352;814608;814955	814468;814793;814957	-;-;-	306	0	1	0	0
PF3D7_0525000.1	Pf3D7_05_v3	1036229	1038343	+	2115	173	154	1078	1270
PF3D7_0622600.1	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	914743;914891;915169;915382	914743;915008;915292;915429	+;+;+;+	291	165	255	135	138
PF3D7_0732500.1	Pf3D7_07_v3;Pf3D7_07_v3	1402623;1403910	1403672;1403978	-;-	1119	0	0	1	0
PF3D7_0207000.1	Pf3D7_02_v3;Pf3D7_02_v3	277494;277973	277828;278456	-;-	819	1101	1110	920	996
PF3D7_1335300.1	Pf3D7_13_v3;Pf3D7_13_v3	1428874;1438795	1438580;1438852	-;-	9765	13	9	36	34
PF3D7_0412300.1	Pf3D7_04_v3	543625	545247	+	1623	42	33	16	26
PF3D7_1433400.1	Pf3D7_14_v3	1312304	1329577	-	17274	772	557	458	531
PF3D7_1006900.1	Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3	281459;281891;282048;282251;282348;282533;282785;283012	281666;281950;282121;282252;282437;282573;282876;283104	+;+;+;+;+;+;+;+	660	218	365	406	414
PF3D7_1473600.1	Pf3D7_14_v3	2997600	2997944	-	345	31	40	16	24
PF3D7_1014800.1	Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3;Pf3D7_10_v3	596497;596700;596888;597316;597477;597974;599048;599554;599819;600171;600361	596544;596757;597146;597391;597870;598889;599424;599604;600037;600224;600413	-;-;-;-;-;-;-;-;-;-;-	2505	29	24	16	12
PF3D7_1471900.1	Pf3D7_14_v3;Pf3D7_14_v3	2933162;2937686	2937454;2939779	-;-	6387	51	47	56	95
PF3D7_1026600.1	Pf3D7_10_v3	1113495	1118573	-	5079	47	47	136	218
PF3D7_0107600.1	Pf3D7_01_v3	314618	319405	+	4788	2	1	2	4
PF3D7_0922100.1	Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3	895415;899832;899996	899659;899906;900304	+;+;+	4629	491	385	444	565
PF3D7_1471000.1	Pf3D7_14_v3	2902134	2903537	+	1404	112	67	154	219
PF3D7_1429200.1	Pf3D7_14_v3	1144518	1148078	-	3561	3	6	113	155
PF3D7_0800100.1	Pf3D7_08_v3;Pf3D7_08_v3	21361;27295	26364;28653	+;+	6363	5	0	3	3
PF3D7_1416400.1	Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3;Pf3D7_14_v3	661098;661367;661611;661832;662200;662512;662810;662964;663176;663427;663649;663863;664342;664703;665008	661208;661489;661718;662002;662336;662567;662886;663075;663292;663563;663737;664116;664585;664816;665098	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1941	6	9	5	13
PF3D7_0516200.1	Pf3D7_05_v3;Pf3D7_05_v3;Pf3D7_05_v3	675809;676023;676443	675914;676200;676614	-;-;-	456	1202	1321	877	858
PF3D7_1029600.1	Pf3D7_10_v3	1206302	1207405	+	1104	8832	10118	2473	2715
PF3D7_0517100.1	Pf3D7_05_v3	718425	719855	-	1431	66	69	25	25
PF3D7_1125200.1	Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3	989159;989645;990037;990241	989484;989902;990108;990301	-;-;-;-	717	113	131	147	182
PF3D7_0520800.1	Pf3D7_05_v3	849862	856026	-	6165	144	124	128	166
PF3D7_1114800.1	Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3;Pf3D7_11_v3	558924;559193;559545;559787;560092;560352;560697;560904	559091;559345;559694;559918;560262;560543;560786;561032	-;-;-;-;-;-;-;-	1185	31	41	24	44
PF3D7_0805600.1	Pf3D7_08_v3	312034	312960	+	927	298	301	199	223
PF3D7_1242600.1	Pf3D7_12_v3;Pf3D7_12_v3	1800562;1802221	1802037;1802310	+;+	1566	53	58	66	78
PF3D7_0313500.1	Pf3D7_03_v3	548718	551453	+	2736	30	29	15	15
PF3D7_1320900.1	Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3	857147;857302;857495;857809	857173;857369;857641;857944	-;-;-;-	378	103	100	92	111
PF3D7_1209900.1	Pf3D7_12_v3	448772	451339	-	2568	128	111	95	132
PF3D7_1310700.1	Pf3D7_13_v3	468232	468663	-	432	78	143	263	268
PF3D7_1302400.1	Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3	129717;129854;130030;130228;130414;130556;130689;130887;131011	129758;129899;130106;130290;130473;130584;130782;130891;131086	-;-;-;-;-;-;-;-;-	492	1	5	0	0
PF3D7_1300100.1	Pf3D7_13_v3;Pf3D7_13_v3	21364;27474	26538;28787	+;+	6489	26	15	18	18
PF3D7_1448000.1	Pf3D7_14_v3;Pf3D7_14_v3	1960033;1963860	1963757;1963962	-;-	3828	147	123	119	117
PF3D7_0614200.1	Pf3D7_06_v3	593172	595904	-	2733	44	60	26	30
PF3D7_1221900.1	Pf3D7_12_v3	872361	874940	-	2580	23	17	133	161
mal_mito_1:mRNA	Pf_M76611;Pf_M76611	734;1489	1486;1521	-;-	786	52	105	13	12
PF3D7_0322900.1	Pf3D7_03_v3;Pf3D7_03_v3	965553;966340	966178;966502	-;-	789	2421	2695	1244	1278
PF3D7_0934100.1	Pf3D7_09_v3	1343385	1346555	+	3171	217	330	230	223
PF3D7_0918100.1	Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3;Pf3D7_09_v3	747173;747355;747526;747786;748084;748474	747181;747439;747611;747876;748188;748490	+;+;+;+;+;+	393	278	341	224	237
PF3D7_1018100.1	Pf3D7_10_v3	720551	721399	+	849	4	14	2	2
PF3D7_1019400.1	Pf3D7_10_v3;Pf3D7_10_v3	786503;786806	786626;787008	+;+	327	1194	1502	616	676
PF3D7_1211200.1	Pf3D7_12_v3	491893	497388	-	5496	49	64	48	51
PF3D7_0518300.1	Pf3D7_05_v3;Pf3D7_05_v3;Pf3D7_05_v3;Pf3D7_05_v3	759831;760396;760579;760886	760262;760465;760686;760998	-;-;-;-	723	1203	1522	963	1043
PF3D7_1023200.1	Pf3D7_10_v3	982231	983202	+	972	144	142	112	154
PF3D7_1222300.1	Pf3D7_12_v3	883567	886032	-	2466	1950	1807	2120	2756
PF3D7_0518400.1	Pf3D7_05_v3	762103	762792	-	690	6	5	1	3
PF3D7_1009400.1	Pf3D7_10_v3	381361	382449	+	1089	190	198	295	278
PF3D7_0630000.1	Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3;Pf3D7_06_v3	1252052;1252270;1252542;1252763;1252975;1253160;1253334;1253459;1253601;1253864	1252182;1252348;1252618;1252851;1253035;1253206;1253373;1253519;1253736;1253985	-;-;-;-;-;-;-;-;-;-	843	0	1	0	0
PF3D7_1320100.1	Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3;Pf3D7_13_v3	834180;834353;834587;834839;835135	834250;834498;834706;834906;835308	-;-;-;-;-	579	96	143	153	132
PF3D7_1100700.1	Pf3D7_11_v3;Pf3D7_11_v3	56792;57046	56860;57840	+;+	864	0	0	0	0
PF3D7_1302200.1	Pf3D7_13_v3	123726	124415	-	690	1	0	12	9
PF3D7_1221300.1	Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3;Pf3D7_12_v3	851012;851900;852122;852353;852740;853099;853971;854267;854518	851720;851970;852195;852486;852815;853774;854050;854360;854739	-;-;-;-;-;-;-;-;-	2136	221	194	297	354
PF3D7_0616800.1	Pf3D7_06_v3	695929	697494	+	1566	194	267	327	363
PF3D7_1429700.1	Pf3D7_14_v3	1168236	1169336	-	1101	479	776	525	536
PF3D7_1441700.1	Pf3D7_14_v3	1700674	1702050	+	1377	19	29	39	30
PF3D7_0415300.1	Pf3D7_04_v3;Pf3D7_04_v3	681810;684962	684822;685968	+;+	4020	569	377	414	642
PF3D7_0806800.1	Pf3D7_08_v3	363260	366421	-	3162	968	898	683	781
PF3D7_1119300.1	Pf3D7_11_v3	724855	725739	-	885	281	303	276	294
